filter_id,Mg,Al,Si,S,K,Ca,Ti,Mn,Fe,Zn,BC,arm,stove,smoke,coil,trash,kerosene,incense,generator,smoky,crop,stove_other,pm25,bc,co,fueltype
3M53881,0.0495,0.4672,0.0088,0.0528,0.2674,0.0699,0.0111,0.008,0.0787,0.0031,3.687078522,Intervention,Yes,No,No,No,No,No,No,No,No,No,10.70536217,3.687078522,0.097057598,LPG
3M53882,0.0588,0.4796,0.187,0.053,0.2844,0.2066,0.0111,0.0038,0.1315,0.0247,3.515514343,Intervention,Yes,No,No,No,No,No,No,No,No,No,18.74194584,3.515514343,NA,LPG
3M53883,0.0758,0.4564,0.1918,0.0583,0.2376,0.1087,0.0111,0.0038,0.1116,0.0137,1.725181533,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.89133936,1.725181533,0.004260446,Biomass
3M53884,0.0831,0.3682,0.0758,0.3839,1.8694,0.2115,0.0206,0.0241,0.0957,0.0173,11.86354072,Control,Yes,No,No,No,No,No,No,No,No,No,261.8840353,11.86354072,1.579830895,Biomass
3M53891,0.0941,0.4,0.1645,0.1766,1.1864,0.3043,0.0345,0.0133,0.1603,0.0303,10.23047385,Control,Yes,No,No,No,No,No,No,No,No,No,102.0996955,10.23047385,1.439786492,Biomass
3M53895,0.0993,0.4558,0.3691,0.3366,2.0867,0.3775,0.0323,0.008,0.0329,0.0393,14.45819731,Control,Yes,No,No,No,No,No,No,No,No,No,148.4620219,14.45819731,2.30201367,Biomass
3M53905,0.0842,0.561,0.278,0.4292,0.7101,0.1744,0.0161,0.0294,0.1364,0.0064,9.654658601,Control,Yes,No,No,No,No,No,No,No,No,No,155.9507524,9.654658601,4.121319626,Biomass
3M53907,0.042,0.3934,0.0088,0.0221,0.0309,0.0239,0.0111,0.0038,0.0179,0.0031,2.682704968,Intervention,Yes,No,No,No,No,No,No,No,No,No,11.01968196,2.682704968,0.11113502,LPG
3M53909,0.0362,0.3696,0.0088,0.0931,0.0723,0.0219,0.0111,0.0161,0.019,0.0031,2.623794217,Intervention,Yes,No,No,No,No,No,No,No,No,No,10.7776957,2.623794217,0,LPG
3M53913,0.1379,0.5656,0.4005,0.4869,0.8331,0.4093,0.023,0.0188,0.1485,0.0356,11.17869768,Control,Yes,No,No,No,No,No,No,No,No,No,128.0896967,11.17869768,0.632225177,Biomass
3M53921,0.0636,0.6308,0.4146,0.1505,0.4127,0.2223,0.0111,0.0093,0.2013,0.0082,6.824171674,Control,Yes,No,No,No,No,No,No,No,No,No,113.8897282,6.824171674,1.746714128,Biomass
3M53926,0.0586,0.4462,0.071,0.2398,0.4069,0.0714,0.0161,0.0228,0.1087,0.0212,4.70317754,Intervention,Yes,No,Yes,No,No,No,No,No,No,No,40.45526024,4.70317754,0.725696157,LPG
3M53927,0.061,0.4699,0.2075,0.3534,0.1899,0.0888,0.0323,0.0228,0.0897,0.0031,2.628233801,Intervention,Yes,No,No,No,No,No,No,No,No,No,15.28781367,2.628233801,1.320563986,LPG
3M53928,0.0889,0.3998,0.3689,0.4794,2.4264,0.2321,0.046,0.0038,0.0778,0.0356,22.83061551,Control,Yes,No,No,No,No,No,No,No,No,No,197.494059,22.83061551,3.053012747,Biomass
3M53929,0.0793,0.4873,0.2498,0.1454,0.3019,0.174,0.0254,0.0038,0.0698,0.0031,2.563178509,Intervention,Yes,No,No,No,No,No,No,No,No,No,14.90940244,2.563178509,0.126403608,LPG
3M53931,0.0468,0.3647,0.0088,0.0984,0.1138,0.0771,0.0184,0.0188,0.0597,0.0031,0.948674777,Intervention,Yes,No,No,No,No,No,No,No,No,No,11.71413666,0.948674777,NA,LPG
3M53936,0.1485,0.755,1.3575,0.6317,3.8673,0.4812,0.0323,0.0173,0.2131,0.0265,15.43089626,Control,Yes,No,No,No,No,No,No,No,No,Yes,331.8265669,15.43089626,3.561779835,Biomass
3M53938,0.0652,0.542,0.3603,0.3046,0.2902,0.1172,0.0391,0.0093,0.1067,0.0155,5.447856046,Intervention,Yes,No,No,No,No,No,No,No,No,No,41.456589459999996,5.447856046,0.341808316,LPG
3M53940,0.0935,0.5572,0.5557,0.2285,0.2093,0.1631,0.0276,0.0133,0.0997,0.0247,2.379704575,Intervention,Yes,No,No,No,No,No,No,No,No,No,19.3459213,2.379704575,0.116850801,LPG
3M53941,0.0785,0.7422,0.5941,0.149,0.2051,0.4264,0.0276,0.0188,0.2549,0.0031,2.066144752,Intervention,Yes,No,No,No,No,No,No,No,No,No,23.16598341,2.066144752,0.183071215,LPG
3M53951,0.0475,0.4746,0.0166,0.1092,0.1543,0.1784,0.0111,0.0038,0.0668,0.0031,2.891858038,Intervention,Yes,No,No,No,No,No,No,No,No,Yes,35.70835978,2.891858038,0.206054515,LPG
3M53957,0.0468,0.3565,0.0088,0.1839,0.8611,0.1165,0.046,0.0068,0.0478,0.0031,28.66083726,Control,Yes,No,No,No,No,No,No,No,No,No,244.3081202,28.66083726,0.913280889,Biomass
3M53958,0.053,0.5263,0.385,0.1264,0.1357,0.1006,0.0111,0.0038,0.1056,0.0247,1.719333379,Intervention,Yes,No,No,No,No,No,No,No,No,No,11.77119293,1.719333379,0.011450961,LPG
3M53965,0.0577,0.4487,0.069,0.1912,1.302,0.1101,0.0111,0.0038,0.1036,0.0031,8.17636072,Control,Yes,No,No,No,No,No,No,No,No,No,72.98891397,8.17636072,0.118523292,Biomass
3M53967,0.0241,0.0077,0.0088,0.1815,0.5835,0.135,0.0111,0.0068,0.0966,0.0082,8.17636072,Control,Yes,No,No,No,No,No,No,No,No,No,72.98891397,8.17636072,0.118523292,Biomass
3M53978,0.1724,1.2837,2.332,0.2345,0.9944,0.542,0.0575,0.0281,0.4295,0.0031,14.10023162,Control,Yes,No,No,No,No,No,No,No,Yes,No,152.088271,14.10023162,NA,Biomass
3M53981,0.0835,0.6461,0.5556,0.1614,0.1543,0.1481,0.0111,0.0201,0.2013,0.0031,1.83270221,Intervention,Yes,No,No,No,No,No,No,No,No,Yes,11.8557644,1.83270221,NA,LPG
3M53983,0.0541,0.3826,0.0088,0.1841,0.3835,0.0659,0.0184,0.0038,0.0309,0.0031,4.833324053,Intervention,Yes,No,No,No,No,No,No,No,No,No,28.81457418,4.833324053,0.391783938,LPG
3M53991,0.0665,0.5004,0.1147,0.1992,0.5601,0.0944,0.0276,0.0038,0.1246,0.032,5.735673274,Intervention,Yes,No,No,No,No,No,No,No,No,Yes,24.36587331,5.735673274,0.233108761,LPG
3M53993,0.042,0.3713,0.1373,0.1879,0.2151,0.0537,0.0111,0.0038,0.034,0.0192,4.307784779,Intervention,Yes,No,No,No,No,No,No,No,No,No,12.66704151,4.307784779,0.115035915,LPG
3M53997,0.0566,0.3267,0.0088,0.2818,1.0196,0.0972,0.0111,0.0038,0.0798,0.0031,12.23388214,Control,Yes,No,No,No,No,No,No,No,No,No,123.0089891,12.23388214,1.534951456,Biomass
3M54012,0.0464,0.376,0.1503,0.1446,0.8043,0.1616,0.0254,0.0038,0.1107,0.0031,10.893015,Control,Yes,No,No,No,No,No,No,No,No,No,105.9391711,10.893015,1.06653303,Biomass
3M54018,0.0367,0.2818,0.0088,0.1191,0.5048,0.0469,0.0111,0.0038,0.025,0.021,8.452360096,Control,Yes,No,Yes,No,No,No,No,No,No,No,61.93780311,8.452360096,NA,Biomass
3M54019,0.0506,0.2495,0.0088,0.2878,0.5616,0.0816,0.0111,0.0188,0.0389,0.0064,10.18734176,Intervention,Yes,No,No,No,No,No,No,No,No,No,60.84921644,10.18734176,0.118314204,LPG
3M54026,0.1141,0.6337,0.456,0.3174,1.442,0.7418,0.0694,0.0108,0.2511,0.0031,14.24622397,Control,Yes,No,No,No,No,NA,No,No,No,No,198.81501600000001,14.24622397,0.745298751,Biomass
3M54029,0.099,0.4208,0.2597,0.5901,6.121,0.2875,0.0276,0.0374,0.1505,0.0031,11.23938461,Control,Yes,No,No,No,No,No,No,No,No,No,545.3087158,11.23938461,11.56675229,Biomass
3M54030,0.0842,0.4208,0.0088,0.2593,1.568,0.1739,0.0111,0.008,0.1067,0.0484,17.45501259,Control,Yes,No,No,No,No,No,No,No,No,No,123.4836744,17.45501259,1.1187894330000001,Biomass
3M54043,0.0665,0.4337,0.0088,0.1627,0.3758,0.1227,0.0161,0.0038,0.0349,0.0031,9.393591041,Control,Yes,No,No,No,No,No,No,No,No,No,51.81808299,9.393591041,0.834853268,Biomass
3M54049,0.0575,0.4913,0.0088,0.1806,0.3209,0.0362,0.0323,0.0038,0.1036,0.0031,5.96137891,Intervention,Yes,No,No,No,No,No,No,No,No,No,36.21047631,5.96137891,NA,LPG
3M54051,0.0721,0.9515,0.85,0.2221,0.6034,0.2429,0.0415,0.0201,0.3145,0.0031,7.366128563,Intervention,Yes,No,No,No,No,No,No,No,No,Yes,40.52503762,7.366128563,0.266302609,LPG
3M54054,0.1267,0.5106,0.5329,0.4756,3.9258,0.4056,0.0323,0.0038,0.1145,0.0192,12.40906404,Control,Yes,No,No,No,No,No,No,No,No,No,257.1058259,12.40906404,2.342340599,Biomass
3M54061,0.0699,0.8887,0.7681,0.1417,0.1627,0.1045,0.0323,0.0038,0.2192,0.0484,2.653079309,Intervention,Yes,No,No,Yes,No,No,No,No,No,No,22.56407361,2.653079309,0.01526676,LPG
3M54090,0.2498,0.4878,0.1118,0.4915,3.7377,0.528,0.0276,0.0133,0.1315,0.0046,11.68195835,Control,Yes,No,No,No,No,No,No,No,No,No,277.3009839,11.68195835,1.979297823,Biomass
3M54098,0.0833,0.7154,0.4915,0.1403,0.2296,0.1483,0.023,0.0121,0.2659,0.0155,2.720291027,Intervention,Yes,No,No,No,No,No,No,No,No,No,21.90916905,2.720291027,0.018988487,LPG
3M54107,0.0815,0.5024,0.0088,0.0931,0.4602,0.1269,0.0111,0.0038,0.0798,0.0356,6.492375283,Control,Yes,No,No,No,No,No,No,No,No,No,81.21957771,6.492375283,14.6054536,Biomass
3M54108,0.0573,0.3824,0.1025,0.1107,0.2016,0.0973,0.0184,0.0254,0.1056,0.0031,3.491504164,Intervention,No,No,No,No,No,No,No,No,No,Yes,33.29452782,3.491504164,0.074644458,LPG
3M54111,0.0625,0.3223,0.0088,0.1213,0.2259,0.0668,0.0111,0.0133,0.0289,0.0031,2.588810294,Control,Yes,No,No,No,No,No,No,No,No,No,15.05849647,2.588810294,0.198080575,Biomass
3M54114,0.0531,0.3494,0.1282,0.1107,0.2115,0.1485,0.0184,0.0038,0.1346,0.0137,3.491504164,Intervention,No,No,No,No,No,No,No,No,No,Yes,33.29452782,3.491504164,0.074644458,LPG
3M54121,0.0573,0.3881,0.0088,0.5554,2.43,0.029,0.0111,0.0038,0.0568,0.0265,11.60742963,Control,Yes,No,No,No,No,No,No,No,No,Yes,91.61827407,11.60742963,1.090994385,Biomass
3M54133,0.082,0.452,0.151,0.1235,0.1609,0.1698,0.0111,0.008,0.0449,0.0376,2.655190045,Intervention,Yes,No,No,No,No,No,No,No,No,No,10.90665958,2.655190045,0.842644967,LPG
3M54138,0.1246,0.6951,0.9438,0.1474,0.3884,0.2246,0.0369,0.0068,0.1764,0.0031,2.584502789,Control,Yes,No,No,No,No,No,No,No,No,No,18.50269629,2.584502789,0.080463234,Biomass
3M54162,0.1101,0.3852,0.0774,0.532,0.3457,0.3169,0.0111,0.0362,0.0678,0.0031,2.583801118,Control,Yes,No,No,No,No,No,No,No,No,No,23.12209119,2.583801118,0.009517308,Biomass
3M54165,0.0889,0.5388,0.177,0.303,0.2586,0.1691,0.0111,0.0038,0.1474,0.01,2.630983851,Control,Yes,No,No,No,No,No,No,No,No,No,16.48102622,2.630983851,1.43090346,Biomass
3M54166,0.0875,0.4725,0.263,0.5618,1.0992,0.3262,0.0345,0.0309,0.235,0.0031,17.65103679,Control,Yes,No,No,No,No,No,No,No,No,No,183.1866248,17.65103679,0.5193484,Biomass
3M54169,0.0418,0.3998,0.0088,0.196,0.0394,0.0374,0.0111,0.0038,0.0055,0.0031,0.964649553,Intervention,Yes,No,No,No,No,No,No,No,No,No,11.91139152,0.964649553,0,LPG
3M54171,0.0694,0.4494,0.2831,0.6472,2.4611,0.1677,0.0111,0.0161,0.1165,0.0031,17.77544385,Control,Yes,No,No,No,No,No,No,Yes,No,No,202.1195366,17.77544385,2.161380827,Biomass
3M54178,0.1003,0.5512,0.2648,0.3926,0.7143,0.28,0.0111,0.0161,0.1733,0.0301,5.859372876,Control,Yes,No,No,No,No,No,No,No,No,No,40.27361511,5.859372876,0.039144737,Biomass
3M54179,0.0692,0.5101,0.0433,0.1644,0.2082,0.135,0.0184,0.0068,0.0798,0.0265,4.885810142,Intervention,Yes,No,No,No,No,No,No,No,No,Yes,29.59997995,4.885810142,0.042425902,LPG
3M54185,0.1134,0.6812,0.3826,0.3364,0.4191,0.3302,0.0184,0.0068,0.261,0.0031,6.601025653,Control,Yes,No,No,No,No,No,No,No,No,No,47.45798377,6.601025653,0.597042865,Biomass
3M54186,0.0782,0.5298,0.05,0.3821,0.7358,0.1225,0.023,0.0241,0.1326,0.0046,10.52857522,Control,Yes,No,No,No,No,No,No,No,No,No,64.15454116,10.52857522,0.333029686,Biomass
3M54196,0.0942,0.5736,0.2812,0.4038,0.7024,0.4294,0.0276,0.0214,0.1684,0.0228,8.136624589,Control,Yes,No,No,No,No,No,No,No,No,No,55.60060234,8.136624589,0.008173077,Biomass
3M54211,0.1072,0.8211,0.6613,0.4887,0.5503,0.38,0.0111,0.0268,0.259,0.01,8.978006545,Intervention,Yes,No,No,No,No,No,No,No,No,Yes,68.23454488,8.978006545,0.322647354,LPG
3M54217,0.0858,0.4904,0.1519,0.5218,0.637,0.1624,0.0415,0.0268,0.1614,0.0064,9.107711374,Control,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,57.95438583,9.107711374,0.133819133,Biomass
3M54223,0.0771,0.4829,0.2126,0.4779,0.456,0.1782,0.0111,0.0038,0.1782,0.0031,6.247838561,Intervention,Yes,No,Yes,Yes,No,No,No,No,Yes,No,39.5905062,6.247838561,0.009145079,LPG
3M54224,0.0561,0.0561,0.0897,0.4593,0.5413,0.1974,0.0254,0.0068,0.1655,0.0082,9.107711374,Control,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,57.95438583,9.107711374,0.133819133,Biomass
3M54234,0.1063,0.3598,0.0088,0.3726,0.2588,0.2506,0.0111,0.0173,0.0438,0.0046,2.674959717,Control,Yes,No,No,No,No,No,No,No,No,No,20.34717872,2.674959717,0.514511381,Biomass
3M54239,0.0745,0.4137,0.0568,0.4893,1.1151,0.1675,0.0111,0.0038,0.0946,0.0031,14.31808529,Control,Yes,No,No,No,No,No,No,No,No,No,125.5540903,14.31808529,0.228880208,Biomass
3M54243,0.134,0.4237,0.3026,0.6113,3.0839,0.3333,0.0111,0.0173,0.1087,0.0031,18.86550468,Control,Yes,No,No,No,No,No,No,No,No,No,197.0382171,18.86550468,5.178138953,Biomass
3M54244,0.053900000000000003,0.3822,0.0088,0.3711,0.1726,0.0296,0.023,0.0038,0.0389,0.0265,2.579840166,Intervention,Yes,No,No,No,No,No,No,No,No,No,17.79568774,2.579840166,2.001851362,LPG
3M54248,0.055,0.5141,0.0962,0.4442,0.3163,0.0979,0.0254,0.0038,0.1355,0.0413,5.361049851,Intervention,Yes,No,No,No,No,No,No,No,No,No,32.31532925,5.361049851,0.17226891,LPG
3M54257,0.1593,0.4876,0.4429,0.6421,2.3424,0.7674,0.0506,0.0535,0.3017,0.0031,15.76778465,Control,Yes,No,No,No,No,No,No,No,No,No,248.2799005,15.76778465,2.246268541,Biomass
3M54263,0.0594,0.4027,0.0088,0.1801,0.1958,0.0986,0.0111,0.0108,0.0689,0.0031,2.692797895,Intervention,Yes,No,No,No,No,No,No,No,No,No,22.89261436,2.692797895,0.045451946,LPG
3M54266,0.0628,0.4244,0.463,0.2403,0.4253,0.0466,0.0276,0.0173,0.0689,0.032,4.151767151,Intervention,Yes,No,No,No,No,No,No,No,No,No,25.64542961,4.151767151,NA,LPG
3M54270,0.1191,1.3356,2.0511,0.3231,1.1467,0.2672,0.0603,0.0093,0.4222,0.0173,18.00484876,Control,Yes,No,No,No,No,No,No,No,No,No,266.3229755,18.00484876,0.9250966,Biomass
3M54276,0.0665,0.7263,0.4436,0.1757,0.2465,0.112,0.0111,0.0188,0.1614,0.0338,2.630476205,Intervention,Yes,No,No,No,Yes,No,No,No,No,No,24.15069841,2.630476205,0.424982974,LPG
