filter_id,Mg,Al,Si,S,K,Ca,Ti,Mn,Fe,Zn,BC,arm,fueltype
3M54054,0.1267,0.5106,0.5329,0.4756,3.9258,0.4056,0.0323,0.0038,0.1145,0.0192,12.40906404,Control,Biomass
3M54061,0.0699,0.8887,0.7681,0.1417,0.1627,0.1045,0.0323,0.0038,0.2192,0.0484,2.653079309,Intervention,LPG
3M54090,0.2498,0.4878,0.1118,0.4915,3.7377,0.528,0.0276,0.0133,0.1315,0.0046,11.68195835,Control,Biomass
3M54098,0.0833,0.7154,0.4915,0.1403,0.2296,0.1483,0.023,0.0121,0.2659,0.0155,2.720291027,Intervention,LPG
3M54107,0.0815,0.5024,0.0088,0.0931,0.4602,0.1269,0.0111,0.0038,0.0798,0.0356,6.492375283,Control,Biomass
3M54108,0.0573,0.3824,0.1025,0.1107,0.2016,0.0973,0.0184,0.0254,0.1056,0.0031,3.491504164,Intervention,LPG
3M54111,0.0625,0.3223,0.0088,0.1213,0.2259,0.0668,0.0111,0.0133,0.0289,0.0031,2.588810294,Control,Biomass
3M54114,0.0531,0.3494,0.1282,0.1107,0.2115,0.1485,0.0184,0.0038,0.1346,0.0137,3.491504164,Intervention,LPG
3M54121,0.0573,0.3881,0.0088,0.5554,2.43,0.029,0.0111,0.0038,0.0568,0.0265,11.60742963,Control,Biomass
3M54133,0.082,0.452,0.151,0.1235,0.1609,0.1698,0.0111,0.008,0.0449,0.0376,2.655190045,Intervention,LPG
3M54138,0.1246,0.6951,0.9438,0.1474,0.3884,0.2246,0.0369,0.0068,0.1764,0.0031,2.584502789,Control,Biomass
3M54162,0.1101,0.3852,0.0774,0.532,0.3457,0.3169,0.0111,0.0362,0.0678,0.0031,2.583801118,Control,Biomass
3M54165,0.0889,0.5388,0.177,0.303,0.2586,0.1691,0.0111,0.0038,0.1474,0.01,2.630983851,Control,Biomass
3M54166,0.0875,0.4725,0.263,0.5618,1.0992,0.3262,0.0345,0.0309,0.235,0.0031,17.65103679,Control,Biomass
3M54169,0.0418,0.3998,0.0088,0.196,0.0394,0.0374,0.0111,0.0038,0.0055,0.0031,0.964649553,Intervention,LPG
3M54171,0.0694,0.4494,0.2831,0.6472,2.4611,0.1677,0.0111,0.0161,0.1165,0.0031,17.77544385,Control,Biomass
