filter_id,pre_ATN,post_ATN
3M52905,3.26,50.43
3M52906,1.51,12.96
3M52909,0.50,29.98
3M52916,2.51,28.00
3M52922,0.38,13.96
3M52928,2.39,43.81
3M52929,2.06,10.01
3M52933,1.48,36.83
3M52936,0.55,49.13
3M52942,3.25,45.25
3M52944,0.09,1.93
3M52954,3.14,48.97
3M52959,1.69,44.48
3M52961,3.79,28.13
3M52964,0.16,26.05
3M52965,1.57,28.04
3M52966,0.47,8.69
3M52968,2.51,45.11
3M52980,0.05,40.94
3M52981,2.45,32.71
3M52982,5.05,17.84
3M52987,0.35,54.67
3M52989,2.45,33.62
3M52991,1.61,13.66
3M52992,1.71,8.92
3M52994,3.80,3.99
3M52996,0.39,8.09
3M53000,1.02,74.85
3M53001,0.63,40.08
3M53013,1.40,19.52
3M53019,1.84,50.47
3M53022,1.11,15.67
3M53029,7.56,11.60
3M53033,0.69,11.14
3M53040,3.35,28.48
3M53049,6.18,37.90
3M53050,1.62,61.48
3M53058,1.59,7.25
3M53068,2.47,66.15
3M53070,5.72,37.74
3M53071,3.35,38.15
3M53075,1.24,25.56
3M53076,2.58,63.39
3M53079,0.54,54.44
3M53105,0.31,43.58
3M53107,1.58,73.10
3M53111,0.47,73.87
3M53113,0.79,68.45
3M53118,1.17,5.96
3M53119,0.57,77.01
3M53122,3.09,27.32
3M53129,2.41,63.85
3M53137,3.09,49.47
3M53144,2.80,24.64
3M53145,2.06,55.49
3M53146,0.16,61.93
3M53155,0.19,15.75
3M53156,0.73,34.04
3M53159,2.65,45.24
3M53173,1.67,65.21
3M53177,0.01,10.39
3M53178,5.17,19.90
3M53179,0.99,83.86
3M53187,1.02,7.41
3M53189,3.34,4.92
3M53190,2.82,14.07
3M53194,0.65,54.38
3M53196,0.79,10.75
3M53199,0.70,18.87
3M53203,1.96,25.35
3M53208,2.15,54.03
3M53209,0.63,11.01
3M53210,5.30,24.00
3M53213,1.77,12.51
3M53217,3.67,69.83
3M53224,1.82,48.18
3M53226,2.09,24.01
3M53231,3.88,27.88
3M53234,0.45,11.05
3M53237,0.43,49.19
3M53247,0.66,13.85
3M53250,1.77,79.68
3M53252,3.73,75.32
3M53253,1.85,42.86
3M53256,3.80,13.11
3M53261,0.33,25.56
3M53270,1.18,74.40
3M53276,2.02,7.06
3M53277,2.41,22.40
3M53278,2.06,27.25
3M53279,4.24,58.77
3M53281,4.77,20.77
3M53289,1.19,57.29
3M53290,1.93,7.31
3M53292,2.77,44.00
3M53293,3.51,49.73
3M53294,1.35,12.35
3M53300,7.27,64.28
3M53302,2.82,4.07
3M53312,0.09,29.64
3M53316,0.72,18.14
3M53317,2.33,38.45
3M53320,2.47,51.49
3M53321,1.33,70.35
3M53322,1.61,35.08
3M53325,1.73,50.46
3M53333,0.05,45.56
3M53338,0.79,64.24
3M53340,3.54,65.82
3M53341,0.71,17.46
3M53342,3.51,0.32
3M53343,0.93,13.07
3M53346,0.50,221.58
3M53347,3.61,43.16
3M53349,4.69,11.35
3M53350,0.19,5.38
3M53351,3.45,11.03
3M53354,0.56,81.86
3M53355,0.19,11.75
3M53358,0.58,65.12
3M53368,0.85,11.11
3M53378,6.92,57.04
3M53385,0.57,49.05
3M53392,1.46,36.73
3M53393,1.53,52.31
3M53395,1.29,38.93
3M53398,4.27,53.42
3M53402,0.50,56.62
3M53405,2.70,8.68
3M53407,0.91,57.75
3M53421,1.32,31.31
3M53422,2.64,64.34
3M53431,0.72,49.47
3M53435,1.55,12.31
3M53438,2.05,3.04
3M53440,2.26,19.07
3M53444,1.95,54.78
3M53448,1.29,60.32
3M53455,1.02,40.09
3M53457,3.02,9.99
3M53464,2.50,57.06
3M53465,1.28,10.70
3M53467,4.07,13.15
3M53472,6.06,44.79
3M53482,0.99,20.02
3M53487,1.28,14.01
3M53492,0.57,13.80
3M53502,4.19,18.89
3M53504,4.48,47.76
3M53519,1.49,53.78
3M53521,1.84,56.05
3M53523,1.12,77.46
3M53524,1.97,13.90
3M53527,1.92,50.27
3M53528,0.53,42.06
3M53530,0.52,26.15
3M53534,2.39,46.89
3M53540,1.62,77.60
3M53543,2.81,51.86
3M53552,1.51,18.62
3M53573,1.70,26.44
3M53610,1.09,12.12
3M53611,0.88,11.63
3M53616,5.50,33.70
3M53619,6.90,13.48
3M53624,0.69,33.33
3M53628,5.79,67.16
3M53629,0.60,36.31
3M53632,1.00,47.70
3M53638,1.59,8.15
3M53639,1.33,100.14
3M53650,0.30,67.31
3M53653,1.25,39.16
3M53659,2.07,68.31
3M53660,2.16,59.16
3M53661,0.31,4.91
3M53662,1.70,27.41
3M53664,2.46,8.82
3M53674,0.15,52.22
3M53675,0.04,17.96
3M53676,2.49,18.15
3M53686,4.61,17.24
3M53697,1.73,67.35
3M53698,4.48,84.77
3M53699,0.08,12.25
3M53702,1.99,48.10
3M53703,1.58,35.36
3M53714,7.31,83.74
3M53716,0.17,70.28
3M53722,0.93,41.83
3M53728,0.86,18.01
3M53742,0.04,14.17
3M53757,1.22,77.28
3M53765,3.07,9.74
3M53775,1.64,4.59
3M53779,1.68,116.16
3M53790,5.95,97.67
3M53795,2.99,11.35
3M53796,8.23,15.22
3M53797,5.64,54.32
3M53798,6.73,14.08
3M53800,2.13,34.73
3M53802,4.16,9.58
3M53807,7.32,69.18
3M53808,5.17,43.04
3M53810,6.45,42.42
3M53811,2.57,47.83
3M53813,5.43,37.31
3M53816,3.11,46.25
3M53817,2.96,15.47
3M53819,3.73,14.66
3M53821,0.59,29.59
3M53829,1.29,23.98
3M53831,0.53,32.57
3M53845,0.08,29.63
3M53849,0.34,45.96
3M53854,1.02,38.50
3M53855,1.61,54.15
3M53856,4.59,8.64
3M53861,0.75,34.67
3M53866,0.13,53.13
3M53869,1.07,18.11
3M53872,0.77,42.01
3M53877,0.67,58.95
3M53881,2.47,18.43
3M53882,2.08,18.27
3M53883,3.51,12.40
3M53884,4.87,56.74
3M53891,2.90,49.68
3M53895,5.93,62.66
