filter_id,pre_ATN,post_ATN
3M53611,0.8818,11.6292
3M53616,5.4987,33.6971
3M53619,6.9034,13.4767
3M53624,0.6878,33.3265
3M53628,5.7853,67.1637
3M53629,0.5976,36.3113
3M53632,1.0006,47.6992
3M53638,1.5946,8.1453
3M53639,1.3308,100.1444
3M53650,0.2958,67.3149
3M53653,1.2490,39.1590
3M53659,2.0652,68.3063
3M53660,2.1625,59.1574
3M53661,0.3134,4.9134
3M53662,1.7046,27.4128
3M53664,2.4606,8.8202
3M53674,0.1528,52.2247
3M53675,0.0434,17.9616
3M53676,2.4867,18.1545
3M53686,4.6087,17.2437
3M53697,1.7331,67.3543
3M53698,4.4821,84.7717
3M53699,0.0757,12.2527
3M53702,1.9868,48.1043
3M53703,1.5790,35.3630
3M53714,7.3130,83.7352
3M53716,0.1741,70.2790
3M53722,0.9308,41.8283
3M53728,0.8596,18.0113
3M53742,0.0430,14.1682
3M53757,1.2178,77.2830
3M53765,3.0701,9.7401
3M53775,1.6409,4.5922
3M53779,1.6783,116.1575
3M53790,5.9493,97.6696
3M53795,2.9938,11.3524
3M53796,8.2348,15.2226
3M53797,5.6444,54.3208
3M53798,6.7338,14.0817
3M53800,2.1289,34.7311
3M53802,4.1611,9.5820
3M53807,7.3225,69.1808
3M53808,5.1721,43.0429
3M53810,6.4465,42.4160
3M53811,2.5683,47.8299
3M53813,5.4281,37.3061
3M53816,3.1117,46.2533
3M53817,2.9644,15.4743
3M53819,3.7266,14.6574
3M53821,0.5856,29.5938
3M53829,1.2908,23.9761
3M53831,0.5262,32.5682
3M53845,0.0812,29.6312
3M53849,0.3426,45.9613
3M53854,1.0155,38.5021
3M53855,1.6054,54.1501
3M53856,4.5916,8.6383
3M53861,0.7522,34.6672
3M53866,0.1332,53.1270
3M53869,1.0719,18.1086
3M53872,0.7682,42.0132
3M53877,0.6695,58.9506
3M53881,2.4749,18.4284
3M53882,2.0762,18.2664
3M53883,3.5149,12.4040
3M53884,4.8728,56.7410
3M53891,2.9016,49.6806
3M53895,5.9344,62.6564
3M53905,3.4315,42.1708
3M53907,2.9787,4.5488
3M53909,1.0161,8.2010
3M53913,0.2616,36.4399
3M53921,0.9050,30.1386
3M53926,3.7389,24.1936
3M53927,2.2113,15.2264
3M53928,1.5706,92.8349
3M53929,2.7912,10.6040
3M53931,5.2855,10.2192
3M53936,0.6575,58.5051
3M53938,6.1337,28.0978
3M53940,4.8164,14.8465
3M53941,2.2778,8.3741
3M53951,1.8910,8.0780
3M53957,1.2273,37.1116
3M53958,1.5405,8.4306
3M53965,0.3891,35.6629
3M53967,3.4978,40.5547
3M53978,1.4862,53.9494
3M53981,1.8358,12.0537
3M53983,4.1847,26.7907
3M53991,2.4068,26.7302
3M53993,0.9074,18.1281
3M53997,4.4875,47.8119
3M54012,0.8431,43.4201
3M54018,0.9496,32.1742
3M54019,5.6055,46.0651
3M54026,2.4679,60.1894
3M54029,1.4024,46.5299
3M54030,9.9646,79.7174
3M54043,4.8575,38.4299
3M54049,3.3691,27.8675
3M54051,2.2330,32.0353
3M54054,0.5471,50.4468
3M54061,7.4504,14.3786
3M54090,5.6749,52.8529
3M54098,1.8689,11.2300
3M54107,7.6293,35.1102
3M54108,9.1972,23.5139
3M54111,8.8304,22.8445
3M54114,7.2614,23.4655
3M54121,6.6373,53.5461
3M54133,6.1336,14.0343
3M54138,3.0044,14.8313
3M54162,10.5740,25.4468
3M54165,8.4758,23.4627
3M54166,7.5186,74.9510
3M54169,9.9138,14.3610
3M54171,7.1066,78.6021
3M54178,4.3483,29.6237
3M54179,5.9548,26.7433
3M54185,6.3194,36.9268
3M54186,7.8766,50.6706
3M54196,8.9950,41.8892
3M54211,4.6274,39.8682
3M54217,11.3016,50.7330
3M54223,6.3351,32.1481
3M54224,9.2157,45.4910
3M54234,8.9595,19.4510
3M54239,6.7679,61.9033
3M54243,1.2919,77.2935
3M54244,11.0761,22.8322
3M54248,10.8974,35.1574
3M54257,10.4421,75.2328
3M54263,5.6904,15.9630
3M54266,1.0177,20.4372
3M54270,12.6082,83.9485
3M54276,5.1469,16.4530
